------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, 2.4
EnvLogger Viewer version, 1.16
downloading device type, iphone
device, Laser Revolution
downloading mode, manual
------------------------------,--------------------
serial number, 04BB FA00 CD56 0D
custom name, SHe4fiddle
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 4809
time diff [logger-smartphone](sec), 92
lat, 22.317291
long, 114.228048
accuracy (m), 65.0
------------------------------,--------------------
time,temp
2021-08-11 08:04:06,41.6
2021-08-11 08:19:06,40.0
2021-08-11 08:34:06,38.3
2021-08-11 08:49:06,41.2
2021-08-11 09:04:06,36.5
2021-08-11 09:19:06,35.5
2021-08-11 09:34:06,34.9
2021-08-11 09:49:06,32.6
2021-08-11 10:04:06,31.5
2021-08-11 10:19:06,31.2
2021-08-11 10:34:06,30.7
2021-08-11 10:49:06,30.0
2021-08-11 11:04:06,29.6
2021-08-11 11:19:06,29.3
2021-08-11 11:34:06,29.6
2021-08-11 11:49:06,29.2
2021-08-11 12:04:06,29.4
2021-08-11 12:19:06,29.2
2021-08-11 12:34:06,29.1
2021-08-11 12:49:06,28.3
2021-08-11 13:04:06,27.8
2021-08-11 13:19:06,27.8
2021-08-11 13:34:06,27.7
2021-08-11 13:49:06,27.1
2021-08-11 14:04:06,26.8
2021-08-11 14:19:06,26.7
2021-08-11 14:34:06,26.6
2021-08-11 14:49:06,26.3
2021-08-11 15:04:06,26.1
2021-08-11 15:19:06,26.2
2021-08-11 15:34:06,26.3
2021-08-11 15:49:06,26.6
2021-08-11 16:04:06,26.7
2021-08-11 16:19:06,26.9
2021-08-11 16:34:06,26.9
2021-08-11 16:49:06,26.9
2021-08-11 17:04:06,26.8
2021-08-11 17:19:06,26.8
2021-08-11 17:34:06,26.9
2021-08-11 17:49:06,27.0
2021-08-11 18:04:06,26.6
2021-08-11 18:19:06,26.4
2021-08-11 18:34:06,26.0
2021-08-11 18:49:06,25.8
2021-08-11 19:04:06,25.9
2021-08-11 19:19:06,26.1
2021-08-11 19:34:06,25.8
2021-08-11 19:49:06,25.6
2021-08-11 20:04:06,25.5
2021-08-11 20:19:06,25.4
2021-08-11 20:34:06,25.2
2021-08-11 20:49:06,25.3
2021-08-11 21:04:06,25.1
2021-08-11 21:19:06,25.1
2021-08-11 21:34:06,25.5
2021-08-11 21:49:06,25.6
2021-08-11 22:04:06,25.8
2021-08-11 22:19:06,25.8
2021-08-11 22:34:06,25.8
2021-08-11 22:49:06,26.1
2021-08-11 23:04:06,26.4
2021-08-11 23:19:06,26.9
2021-08-11 23:34:06,27.3
2021-08-11 23:49:06,27.9
2021-08-12 00:04:06,28.3
2021-08-12 00:19:06,28.4
